Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000088848,0,0,0,0
ENSMUSG00000041763,2251,2271,2001,2937
ENSMUSG00000047343,5,0,4,2
ENSMUSG00000090106,0,1,0,1
ENSMUSG00000091844,10,0,7,3
ENSMUSG00000026049,305,79,318,142
ENSMUSG00000101104,0,0,0,0
ENSMUSG00000026047,570,373,519,430
ENSMUSG00000041684,411,142,393,212
ENSMUSG00000026048,810,108,852,123
ENSMUSG00000046828,0,1,0,0
ENSMUSG00000089703,0,0,0,4
ENSMUSG00000100966,0,73,0,79
ENSMUSG00000100769,0,0,0,0
ENSMUSG00000101567,288,453,319,589
ENSMUSG00000056870,0,227,0,275
ENSMUSG00000102319,0,0,0,0
ENSMUSG00000089877,0,39,0,36
ENSMUSG00000101701,0,0,0,0
ENSMUSG00000103071,0,0,0,0
ENSMUSG00000100434,0,6,0,18
ENSMUSG00000100013,1,24,0,22
ENSMUSG00000101251,0,0,0,0
ENSMUSG00000101937,1,3,0,6
ENSMUSG00000026043,1,5948,0,7212
ENSMUSG00000026042,5,31905,0,38593
ENSMUSG00000104476,0,1,0,0
ENSMUSG00000100218,0,0,0,3
ENSMUSG00000100361,0,87,0,119
ENSMUSG00000100894,0,0,0,0
ENSMUSG00000119267,0,0,0,0
ENSMUSG00000065255,0,0,0,0
ENSMUSG00000100843,0,0,0,0
ENSMUSG00000087764,0,0,0,0
ENSMUSG00000025995,1370,155,1381,197
ENSMUSG00000099850,0,0,0,0
ENSMUSG00000084817,1118,2927,1104,3151
ENSMUSG00000098549,0,3,0,13
ENSMUSG00000099381,6,0,2,0
ENSMUSG00000025993,288,32,268,26
ENSMUSG00000099946,0,18,0,26
